job_id,skill,category,role_category,location,posted_date
213,Python,Programming Language,Data Scientist,Remote,2025-08-19
213,SQL,Programming Language,Data Scientist,Remote,2025-08-19
213,Machine Learning,Machine Learning & AI,Data Scientist,Remote,2025-08-19
213,Computer Vision,Machine Learning & AI,Data Scientist,Remote,2025-08-19
213,Statistics,Analytics,Data Scientist,Remote,2025-08-19
213,A/B Testing,Analytics,Data Scientist,Remote,2025-08-19
238,Python,Programming Language,Data Analyst,"Los Angeles, CA",2025-08-19
238,SQL,Programming Language,Data Analyst,"Los Angeles, CA",2025-08-19
238,Excel,BI & Visualization,Data Analyst,"Los Angeles, CA",2025-08-19
238,Power BI,BI & Visualization,Data Analyst,"Los Angeles, CA",2025-08-19
238,Git,DevOps,Data Analyst,"Los Angeles, CA",2025-08-19
238,Data Warehousing,Data Engineering,Data Analyst,"Los Angeles, CA",2025-08-19
238,MongoDB,Databases,Data Analyst,"Los Angeles, CA",2025-08-19
419,Python,Programming Language,Data Scientist,"Berlin, Germany",2025-08-19
419,R,Programming Language,Data Scientist,"Berlin, Germany",2025-08-19
419,Deep Learning,Machine Learning & AI,Data Scientist,"Berlin, Germany",2025-08-19
419,TensorFlow,Machine Learning & AI,Data Scientist,"Berlin, Germany",2025-08-19
419,Scikit-learn,Machine Learning & AI,Data Scientist,"Berlin, Germany",2025-08-19
419,NLP,Machine Learning & AI,Data Scientist,"Berlin, Germany",2025-08-19
419,A/B Testing,Analytics,Data Scientist,"Berlin, Germany",2025-08-19
1009,Python,Programming Language,Data Analyst,"Seattle, WA",2025-08-19
1009,SQL,Programming Language,Data Analyst,"Seattle, WA",2025-08-19
1009,Excel,BI & Visualization,Data Analyst,"Seattle, WA",2025-08-19
1009,Power BI,BI & Visualization,Data Analyst,"Seattle, WA",2025-08-19
1009,GCP,Cloud,Data Analyst,"Seattle, WA",2025-08-19
1208,Python,Programming Language,Data Analyst,"Pune, India",2025-08-19
1208,Excel,BI & Visualization,Data Analyst,"Pune, India",2025-08-19
1208,Power BI,BI & Visualization,Data Analyst,"Pune, India",2025-08-19
1208,Tableau,BI & Visualization,Data Analyst,"Pune, India",2025-08-19
1208,GCP,Cloud,Data Analyst,"Pune, India",2025-08-19
1208,Git,DevOps,Data Analyst,"Pune, India",2025-08-19
1208,Data Warehousing,Data Engineering,Data Analyst,"Pune, India",2025-08-19
1333,Python,Programming Language,Data Engineer,"Berlin, Germany",2025-08-19
1333,Redshift,Cloud & Data Warehousing,Data Engineer,"Berlin, Germany",2025-08-19
1333,BigQuery,Cloud & Data Warehousing,Data Engineer,"Berlin, Germany",2025-08-19
1333,Spark,Big Data,Data Engineer,"Berlin, Germany",2025-08-19
1333,ETL,Data Engineering,Data Engineer,"Berlin, Germany",2025-08-19
1333,NoSQL,Databases,Data Engineer,"Berlin, Germany",2025-08-19
1692,Python,Programming Language,Data Analyst,"Hyderabad, India",2025-08-19
1692,SQL,Programming Language,Data Analyst,"Hyderabad, India",2025-08-19
1692,Looker,BI & Visualization,Data Analyst,"Hyderabad, India",2025-08-19
1692,GCP,Cloud,Data Analyst,"Hyderabad, India",2025-08-19
1692,A/B Testing,Analytics,Data Analyst,"Hyderabad, India",2025-08-19
336,Python,Programming Language,Data Analyst,"San Francisco, CA",2025-08-20
336,R,Programming Language,Data Analyst,"San Francisco, CA",2025-08-20
336,Excel,BI & Visualization,Data Analyst,"San Francisco, CA",2025-08-20
336,Power BI,BI & Visualization,Data Analyst,"San Francisco, CA",2025-08-20
336,Tableau,BI & Visualization,Data Analyst,"San Francisco, CA",2025-08-20
336,Statistics,Analytics,Data Analyst,"San Francisco, CA",2025-08-20
336,Data Warehousing,Data Engineering,Data Analyst,"San Francisco, CA",2025-08-20
386,Python,Programming Language,Data Scientist,"Seattle, WA",2025-08-20
386,SQL,Programming Language,Data Scientist,"Seattle, WA",2025-08-20
386,AWS,Cloud,Data Scientist,"Seattle, WA",2025-08-20
386,Machine Learning,Machine Learning & AI,Data Scientist,"Seattle, WA",2025-08-20
386,TensorFlow,Machine Learning & AI,Data Scientist,"Seattle, WA",2025-08-20
386,A/B Testing,Analytics,Data Scientist,"Seattle, WA",2025-08-20
434,Python,Programming Language,Data Analyst,"San Francisco, CA",2025-08-20
434,Excel,BI & Visualization,Data Analyst,"San Francisco, CA",2025-08-20
434,Power BI,BI & Visualization,Data Analyst,"San Francisco, CA",2025-08-20
434,GCP,Cloud,Data Analyst,"San Francisco, CA",2025-08-20
434,Statistics,Analytics,Data Analyst,"San Francisco, CA",2025-08-20
556,Python,Programming Language,ML Engineer,Singapore,2025-08-20
556,Azure,Cloud,ML Engineer,Singapore,2025-08-20
556,Kubernetes,DevOps,ML Engineer,Singapore,2025-08-20
556,Machine Learning,Machine Learning & AI,ML Engineer,Singapore,2025-08-20
556,Deep Learning,Machine Learning & AI,ML Engineer,Singapore,2025-08-20
556,Computer Vision,Machine Learning & AI,ML Engineer,Singapore,2025-08-20
765,Python,Programming Language,ML Engineer,"Pune, India",2025-08-20
765,AWS,Cloud,ML Engineer,"Pune, India",2025-08-20
765,Azure,Cloud,ML Engineer,"Pune, India",2025-08-20
765,Kubernetes,DevOps,ML Engineer,"Pune, India",2025-08-20
765,Machine Learning,Machine Learning & AI,ML Engineer,"Pune, India",2025-08-20
1352,Python,Programming Language,Data Analyst,"Los Angeles, CA",2025-08-20
1352,SQL,Programming Language,Data Analyst,"Los Angeles, CA",2025-08-20
1352,Power BI,BI & Visualization,Data Analyst,"Los Angeles, CA",2025-08-20
1352,Tableau,BI & Visualization,Data Analyst,"Los Angeles, CA",2025-08-20
1352,A/B Testing,Analytics,Data Analyst,"Los Angeles, CA",2025-08-20
1352,Data Warehousing,Data Engineering,Data Analyst,"Los Angeles, CA",2025-08-20
1487,SQL,Programming Language,Data Scientist,"London, UK",2025-08-20
1487,NLP,Machine Learning & AI,Data Scientist,"London, UK",2025-08-20
1487,Computer Vision,Machine Learning & AI,Data Scientist,"London, UK",2025-08-20
1487,Statistics,Analytics,Data Scientist,"London, UK",2025-08-20
1749,Python,Programming Language,Data Scientist,"Chicago, IL",2025-08-20
1749,Spark,Big Data,Data Scientist,"Chicago, IL",2025-08-20
1749,Machine Learning,Machine Learning & AI,Data Scientist,"Chicago, IL",2025-08-20
1749,Scikit-learn,Machine Learning & AI,Data Scientist,"Chicago, IL",2025-08-20
1749,Computer Vision,Machine Learning & AI,Data Scientist,"Chicago, IL",2025-08-20
1749,Statistics,Analytics,Data Scientist,"Chicago, IL",2025-08-20
1749,A/B Testing,Analytics,Data Scientist,"Chicago, IL",2025-08-20
382,Python,Programming Language,Data Scientist,"Mumbai, India",2025-08-21
382,SQL,Programming Language,Data Scientist,"Mumbai, India",2025-08-21
382,Machine Learning,Machine Learning & AI,Data Scientist,"Mumbai, India",2025-08-21
382,TensorFlow,Machine Learning & AI,Data Scientist,"Mumbai, India",2025-08-21
382,PyTorch,Machine Learning & AI,Data Scientist,"Mumbai, India",2025-08-21
382,Statistics,Analytics,Data Scientist,"Mumbai, India",2025-08-21
382,A/B Testing,Analytics,Data Scientist,"Mumbai, India",2025-08-21
489,Python,Programming Language,Data Analyst,"New York, NY",2025-08-21
489,R,Programming Language,Data Analyst,"New York, NY",2025-08-21
489,SQL,Programming Language,Data Analyst,"New York, NY",2025-08-21
489,Excel,BI & Visualization,Data Analyst,"New York, NY",2025-08-21
489,Power BI,BI & Visualization,Data Analyst,"New York, NY",2025-08-21
489,Statistics,Analytics,Data Analyst,"New York, NY",2025-08-21
489,Data Warehousing,Data Engineering,Data Analyst,"New York, NY",2025-08-21
1130,SQL,Programming Language,Data Analyst,"Mumbai, India",2025-08-21
1130,Power BI,BI & Visualization,Data Analyst,"Mumbai, India",2025-08-21
1130,Tableau,BI & Visualization,Data Analyst,"Mumbai, India",2025-08-21
1130,Git,DevOps,Data Analyst,"Mumbai, India",2025-08-21
1130,Statistics,Analytics,Data Analyst,"Mumbai, India",2025-08-21
1130,Data Warehousing,Data Engineering,Data Analyst,"Mumbai, India",2025-08-21
570,Snowflake,Cloud & Data Warehousing,Data Engineer,"Denver, CO",2025-08-22
570,BigQuery,Cloud & Data Warehousing,Data Engineer,"Denver, CO",2025-08-22
570,Spark,Big Data,Data Engineer,"Denver, CO",2025-08-22
570,Kafka,Big Data,Data Engineer,"Denver, CO",2025-08-22
570,dbt,Data Engineering,Data Engineer,"Denver, CO",2025-08-22
570,ETL,Data Engineering,Data Engineer,"Denver, CO",2025-08-22
708,Java,Programming Language,Software Engineer,"Toronto, Canada",2025-08-22
708,Docker,DevOps,Software Engineer,"Toronto, Canada",2025-08-22
708,PostgreSQL,Databases,Software Engineer,"Toronto, Canada",2025-08-22
708,Linux,DevOps,Software Engineer,"Toronto, Canada",2025-08-22
858,Python,Programming Language,ML Engineer,"New York, NY",2025-08-22
858,AWS,Cloud,ML Engineer,"New York, NY",2025-08-22
858,Spark,Big Data,ML Engineer,"New York, NY",2025-08-22
858,Kubernetes,DevOps,ML Engineer,"New York, NY",2025-08-22
858,Machine Learning,Machine Learning & AI,ML Engineer,"New York, NY",2025-08-22
858,Deep Learning,Machine Learning & AI,ML Engineer,"New York, NY",2025-08-22
858,Scikit-learn,Machine Learning & AI,ML Engineer,"New York, NY",2025-08-22
1664,AWS,Cloud,ML Engineer,"Boston, MA",2025-08-22
1664,Spark,Big Data,ML Engineer,"Boston, MA",2025-08-22
1664,Docker,DevOps,ML Engineer,"Boston, MA",2025-08-22
1664,Kubernetes,DevOps,ML Engineer,"Boston, MA",2025-08-22
1664,Deep Learning,Machine Learning & AI,ML Engineer,"Boston, MA",2025-08-22
1664,TensorFlow,Machine Learning & AI,ML Engineer,"Boston, MA",2025-08-22
1664,PyTorch,Machine Learning & AI,ML Engineer,"Boston, MA",2025-08-22
1993,Java,Programming Language,Software Engineer,"Toronto, Canada",2025-08-22
1993,AWS,Cloud,Software Engineer,"Toronto, Canada",2025-08-22
1993,Git,DevOps,Software Engineer,"Toronto, Canada",2025-08-22
1993,PostgreSQL,Databases,Software Engineer,"Toronto, Canada",2025-08-22
1993,Linux,DevOps,Software Engineer,"Toronto, Canada",2025-08-22
1993,REST API,Software Engineering,Software Engineer,"Toronto, Canada",2025-08-22
1993,Agile,Soft Skills & Methodology,Software Engineer,"Toronto, Canada",2025-08-22
1132,Python,Programming Language,Data Analyst,Remote,2025-08-23
1132,SQL,Programming Language,Data Analyst,Remote,2025-08-23
1132,Excel,BI & Visualization,Data Analyst,Remote,2025-08-23
1132,GCP,Cloud,Data Analyst,Remote,2025-08-23
1132,Data Warehousing,Data Engineering,Data Analyst,Remote,2025-08-23
1277,AWS,Cloud,ML Engineer,"San Francisco, CA",2025-08-23
1277,Kubernetes,DevOps,ML Engineer,"San Francisco, CA",2025-08-23
1277,Machine Learning,Machine Learning & AI,ML Engineer,"San Francisco, CA",2025-08-23
1277,Deep Learning,Machine Learning & AI,ML Engineer,"San Francisco, CA",2025-08-23
1277,TensorFlow,Machine Learning & AI,ML Engineer,"San Francisco, CA",2025-08-23
1277,PyTorch,Machine Learning & AI,ML Engineer,"San Francisco, CA",2025-08-23
1277,Scikit-learn,Machine Learning & AI,ML Engineer,"San Francisco, CA",2025-08-23
1579,Python,Programming Language,Data Analyst,Remote,2025-08-23
1579,SQL,Programming Language,Data Analyst,Remote,2025-08-23
1579,Power BI,BI & Visualization,Data Analyst,Remote,2025-08-23
1579,Tableau,BI & Visualization,Data Analyst,Remote,2025-08-23
1579,Git,DevOps,Data Analyst,Remote,2025-08-23
1579,Statistics,Analytics,Data Analyst,Remote,2025-08-23
1579,A/B Testing,Analytics,Data Analyst,Remote,2025-08-23
368,Spark,Big Data,Data Engineer,"Atlanta, GA",2025-08-24
368,Hadoop,Big Data,Data Engineer,"Atlanta, GA",2025-08-24
368,Kafka,Big Data,Data Engineer,"Atlanta, GA",2025-08-24
368,Airflow,Data Engineering,Data Engineer,"Atlanta, GA",2025-08-24
368,ETL,Data Engineering,Data Engineer,"Atlanta, GA",2025-08-24
384,Python,Programming Language,Software Engineer,"Boston, MA",2025-08-24
384,JavaScript,Programming Language,Software Engineer,"Boston, MA",2025-08-24
384,AWS,Cloud,Software Engineer,"Boston, MA",2025-08-24
384,Kubernetes,DevOps,Software Engineer,"Boston, MA",2025-08-24
384,Git,DevOps,Software Engineer,"Boston, MA",2025-08-24
384,REST API,Software Engineering,Software Engineer,"Boston, MA",2025-08-24
453,Airflow,Data Engineering,ML Engineer,"San Francisco, CA",2025-08-24
453,Kubernetes,DevOps,ML Engineer,"San Francisco, CA",2025-08-24
453,Machine Learning,Machine Learning & AI,ML Engineer,"San Francisco, CA",2025-08-24
453,TensorFlow,Machine Learning & AI,ML Engineer,"San Francisco, CA",2025-08-24
453,NLP,Machine Learning & AI,ML Engineer,"San Francisco, CA",2025-08-24
453,Computer Vision,Machine Learning & AI,ML Engineer,"San Francisco, CA",2025-08-24
565,Docker,DevOps,Software Engineer,Remote,2025-08-24
565,Kubernetes,DevOps,Software Engineer,Remote,2025-08-24
565,Git,DevOps,Software Engineer,Remote,2025-08-24
565,Linux,DevOps,Software Engineer,Remote,2025-08-24
565,REST API,Software Engineering,Software Engineer,Remote,2025-08-24
565,Agile,Soft Skills & Methodology,Software Engineer,Remote,2025-08-24
604,Power BI,BI & Visualization,Data Analyst,"Boston, MA",2025-08-24
604,Tableau,BI & Visualization,Data Analyst,"Boston, MA",2025-08-24
604,Looker,BI & Visualization,Data Analyst,"Boston, MA",2025-08-24
604,Statistics,Analytics,Data Analyst,"Boston, MA",2025-08-24
604,ETL,Data Engineering,Data Analyst,"Boston, MA",2025-08-24
604,Data Warehousing,Data Engineering,Data Analyst,"Boston, MA",2025-08-24
