job_id,job_title,company,location,posted_date,role_category,salary_usd,description
213,Data Scientist,Junction Mobility,Remote,2025-08-19,Data Scientist,111000,"Junction Mobility is hiring a Data Scientist to help scale our data capabilities. In this role you'll design, build, and maintain solutions using Statistics, Python, A/B testing, Machine Learning, SQL, and Computer Vision. We're looking for someone with strong problem-solving skills, excellent communication, and a passion for data-driven decision making. Entry-level candidates with strong internship experience are encouraged to apply."
238,Business Data Analyst,Northwind Digital,"Los Angeles, CA",2025-08-19,Data Analyst,99500,"We are looking for a Business Data Analyst to join our growing team at Northwind Digital. You will work closely with cross-functional stakeholders to turn data into actionable insight. Key requirements include hands-on experience with MongoDB, Power BI, SQL, Excel, Data warehousing, Git, and Python. The ideal candidate is comfortable working in a fast-paced, collaborative environment and has a strong track record of delivering measurable business impact. 5+ years of professional experience required."
419,Data Scientist,Delta Freight Systems,"Berlin, Germany",2025-08-19,Data Scientist,118000,"Delta Freight Systems is hiring a Data Scientist to help scale our data capabilities. In this role you'll design, build, and maintain solutions using TensorFlow, Scikit-learn, Python, NLP, Deep Learning, R, and A/B testing. We're looking for someone with strong problem-solving skills, excellent communication, and a passion for data-driven decision making. 5+ years of professional experience required."
1009,Data Analyst,Riverstone Tech,"Seattle, WA",2025-08-19,Data Analyst,91500,"Join Riverstone Tech as a Data Analyst! You'll be responsible for building and maintaining systems that rely on Python, SQL, Excel, Power BI, and Google Cloud Platform. This is a great opportunity for someone who enjoys solving complex problems and working with a talented, supportive team. Minimum of 2 years in a similar role."
1208,Data Analyst,Delta Freight Systems,"Pune, India",2025-08-19,Data Analyst,24000,"Delta Freight Systems is hiring a Data Analyst to help scale our data capabilities. In this role you'll design, build, and maintain solutions using Excel, Tableau, Google Cloud Platform, Python, Power BI, Git, and Data warehousing. We're looking for someone with strong problem-solving skills, excellent communication, and a passion for data-driven decision making. Minimum of 2 years in a similar role."
1333,ETL Developer,Zenith Aerospace,"Berlin, Germany",2025-08-19,Data Engineer,108000,"As a ETL Developer at Zenith Aerospace, you will partner with engineering and product teams to deliver high-quality, reliable solutions. Required skills: Python, NoSQL, Spark, Redshift, and BigQuery. Bonus points if you have experience mentoring junior team members and contributing to a strong engineering culture. Minimum of 2 years in a similar role."
1692,Junior Data Analyst,Bluepeak Technologies,"Hyderabad, India",2025-08-19,Data Analyst,22000,"Bluepeak Technologies is hiring a Junior Data Analyst to help scale our data capabilities. In this role you'll design, build, and maintain solutions using SQL, A/B testing, Google Cloud Platform, Python, and Looker. We're looking for someone with strong problem-solving skills, excellent communication, and a passion for data-driven decision making. Entry-level candidates with strong internship experience are encouraged to apply."
336,Business Data Analyst,Fenwick Pharma,"San Francisco, CA",2025-08-20,Data Analyst,99500,"We are looking for a Business Data Analyst to join our growing team at Fenwick Pharma. You will work closely with cross-functional stakeholders to turn data into actionable insight. Key requirements include hands-on experience with R, Excel, Statistics, Tableau, Data warehousing, Python, and Power BI. The ideal candidate is comfortable working in a fast-paced, collaborative environment and has a strong track record of delivering measurable business impact. 5+ years of professional experience required."
386,Lead Data Scientist,Meridian Health Analytics,"Seattle, WA",2025-08-20,Data Scientist,190000,"Meridian Health Analytics is hiring a Lead Data Scientist to help scale our data capabilities. In this role you'll design, build, and maintain solutions using A/B testing, SQL, Python, AWS, Machine Learning, and TensorFlow. We're looking for someone with strong problem-solving skills, excellent communication, and a passion for data-driven decision making. Minimum of 2 years in a similar role."
434,Business Data Analyst,Junction Mobility,"San Francisco, CA",2025-08-20,Data Analyst,130500,"As a Business Data Analyst at Junction Mobility, you will partner with engineering and product teams to deliver high-quality, reliable solutions. Required skills: Excel, Python, Google Cloud Platform, Power BI, and Statistics. Bonus points if you have experience mentoring junior team members and contributing to a strong engineering culture. Minimum of 2 years in a similar role."
556,Deep Learning Engineer,Delta Freight Systems,Singapore,2025-08-20,ML Engineer,177500,"Delta Freight Systems is hiring a Deep Learning Engineer to help scale our data capabilities. In this role you'll design, build, and maintain solutions using Computer Vision, Kubernetes, Azure, Python, and Machine Learning. We're looking for someone with strong problem-solving skills, excellent communication, and a passion for data-driven decision making. Entry-level candidates with strong internship experience are encouraged to apply."
765,AI Engineer,Marlin Shipping,"Pune, India",2025-08-20,ML Engineer,52500,"We are looking for a AI Engineer to join our growing team at Marlin Shipping. You will work closely with cross-functional stakeholders to turn data into actionable insight. Key requirements include hands-on experience with Machine Learning, Kubernetes, AWS, Python, and Azure. The ideal candidate is comfortable working in a fast-paced, collaborative environment and has a strong track record of delivering measurable business impact. 3+ years of relevant experience preferred."
1352,Business Data Analyst,Summit Cloud Solutions,"Los Angeles, CA",2025-08-20,Data Analyst,71000,"Join Summit Cloud Solutions as a Business Data Analyst! You'll be responsible for building and maintaining systems that rely on Python, A/B testing, Tableau, SQL, Data warehousing, and Power BI. This is a great opportunity for someone who enjoys solving complex problems and working with a talented, supportive team. 5+ years of professional experience required."
1487,Data Scientist,Evergreen Logistics,"London, UK",2025-08-20,Data Scientist,118500,"As a Data Scientist at Evergreen Logistics, you will partner with engineering and product teams to deliver high-quality, reliable solutions. Required skills: Computer Vision, Statistics, NLP, and SQL. Bonus points if you have experience mentoring junior team members and contributing to a strong engineering culture. Ideal for candidates with 4-6 years of industry experience."
1749,Data Scientist,Hilltop Ventures,"Chicago, IL",2025-08-20,Data Scientist,98500,"Join Hilltop Ventures as a Data Scientist! You'll be responsible for building and maintaining systems that rely on Python, Machine Learning, Statistics, Spark, Computer Vision, Scikit-learn, and A/B testing. This is a great opportunity for someone who enjoys solving complex problems and working with a talented, supportive team. Minimum of 2 years in a similar role."
382,Lead Data Scientist,Fenwick Pharma,"Mumbai, India",2025-08-21,Data Scientist,56500,"Fenwick Pharma is hiring a Lead Data Scientist to help scale our data capabilities. In this role you'll design, build, and maintain solutions using TensorFlow, A/B testing, Machine Learning, Statistics, PyTorch, Python, and SQL. We're looking for someone with strong problem-solving skills, excellent communication, and a passion for data-driven decision making. Ideal for candidates with 4-6 years of industry experience."
